Time,Level,Ticker,Notional,Size,Price,Closing1d,Volume,1DChg,UndTkr,1PtVal,Exch,UndCmpName,UndPrc,Date,FutName,Structure_ID,Structure
22:38:35,,ZTWZ4,149993790.0,2154,696.5,,33511,1.5,M1MS,100,GR,MSCI EM Asia Net Total Return,696.35,2024-12-18,MSCI Emer Mkts As Dec24,20241218-R-8-L2,Leg
21:19:19,1.3383244485693169,ZTWZ4H5,49219926.0,707,697.8801,"=BDH(J26&"" Index"", ""PX_CLOSE_1D"",O26,O26)",30543,2.88,M1MS,100,GR,MSCI EM Asia Net Total Return,696.18,2024-12-18,MSCI Emer Mkts As Dec24Mar25,20241218-R-9,Roll
21:19:19,,ZTWH5,49219926.0,707,707.22,,26449,3.02,M1MS,100,GR,MSCI EM Asia Net Total Return,696.18,2024-12-18,MSCI Emer Mkts As Mar25,20241218-R-9-L1,Leg
21:19:19,,ZTWZ4,49219926.0,707,697.8801,,30543,2.88,M1MS,100,GR,MSCI EM Asia Net Total Return,696.18,2024-12-18,MSCI Emer Mkts As Dec24,20241218-R-9-L2,Leg
19:51:12,1.3499878176122637,ZTOZ4H5,19851089.0,349,5746.0,"=BDH(J29&"" Index"", ""PX_CLOSE_1D"",O29,O29)",834,-1.0,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Dec24Mar25,20241218-R-10,Roll
19:51:34,,ZTOH5,19707863.0,344,5823.5703,,829,5.57,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Mar25,20241218-R-10-L1,Leg
19:51:12,,ZTOZ4,19994315.0,349,5746.0,,834,-1.0,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Dec24,20241218-R-10-L2,Leg
19:29:16,1.340034843205573,ZTOZ4H5,9051867.0,158,5740.0,"=BDH(J32&"" Index"", ""PX_CLOSE_1D"",O32,O32)",834,-7.0,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Dec24Mar25,20241218-R-11,Roll
19:29:34,,ZTOH5,9051867.0,158,5816.918,,829,-1.08,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Mar25,20241218-R-11-L1,Leg
19:29:16,,ZTOZ4,9051867.0,158,5740.0,,834,-7.0,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Dec24,20241218-R-11-L2,Leg
19:13:34,1.3550159470068657,ZSIZ4H5,39900886.0,494,8152.0,"=BDH(J35&"" Index"", ""PX_CLOSE_1D"",O35,O35)",1431,-22.0,M1PCJ,10,GR,MSCI Pacific ex Japan Net Tota,8134.34,2024-12-18,MSCI Pacific ex J Dec24Mar25,20241218-R-12,Roll
19:14:37,,ZSIH5,39618132.0,487,8262.4609,,1399,-10.54,M1PCJ,10,GR,MSCI Pacific ex Japan Net Tota,8135.14,2024-12-18,MSCI Pacific ex J Mar25,20241218-R-12-L1,Leg
19:13:34,,ZSIZ4,40183640.0,494,8152.0,,1431,-22.0,M1PCJ,10,GR,MSCI Pacific ex Japan Net Tota,8134.34,2024-12-18,MSCI Pacific ex J Dec24,20241218-R-12-L2,Leg
18:50:08,1.3250716332378287,ZTWZ4H5,99133256.5,1433,698.0,"=BDH(J38&"" Index"", ""PX_CLOSE_1D"",O38,O38)",29744,3.0,M1MS,100,GR,MSCI EM Asia Net Total Return,696.41,2024-12-18,MSCI Emer Mkts As Dec24Mar25,20241218-R-13,Roll
